category,link
IN tech,http://timesofindia.feedsportal.com/c/33039/f/533923/index.rss
IN tech,http://www.techtree.com/rss.xml
IN tech,http://indianexpress.com/section/technology/feed/
IN tech,http://www.thehindu.com/sci-tech/?service=rss
IN tech,http://www.thehindu.com/sci-tech/technology/?service=rss
IN tech,http://feeds.hindustantimes.com/HT-Technology
IN tech,http://syndication.financialexpress.com/rss/377/tech.xml
IN tech,http://www.gizmodo.in/rss_section_feeds/19124814.cms
IN tech,http://zeenews.india.com/rss/science-technology-news.xml
IN tech,http://www.computerworld.in/rss.xml
GB general,http://www.theguardian.com/observer/rss
GB general,http://www.theguardian.com/world/rss
GB general,http://www.theweek.co.uk/feeds/all
GB general,http://feeds.bbci.co.uk/news/world/rss.xml
GB general,http://feeds.bbci.co.uk/news/uk/rss.xml
GB general,http://www.theguardian.com/uk/rss
GB general,http://news.sky.com/feeds/rss/uk.xml
GB general,http://www.telegraph.co.uk/news/uknews/rss
GB general,http://www.ft.com/rss/world/uk
GB general,http://www.standard.co.uk/news/rss
GB general,http://www.oxfordmail.co.uk/news/rss/
GB general,http://www.dailymail.co.uk/news/index.rss
GB general,http://rss.feedsportal.com/c/266/f/3503/index.rss
GB general,http://rss.feedsportal.com/c/266/f/3496/index.rss
GB general,http://feeds.feedburner.com/daily-express-uk-news
GB general,http://www.standard.co.uk/news/rss
GB general,http://www.manchestereveningnews.co.uk/rss.xml
GB general,http://www.itv.com/news/index.rss
GB general,http://www.thecourier.co.uk/cmlink/1.67998
GB general,http://feeds.feedburner.com/ScottishNewsHeraldScotland
GB general,http://www.channel4.com/news/uk/rss
GB general,http://www.scotsman.com/rss/cmlink/1.65668
GB general,http://www.newsletter.co.uk/rss/cmlink/1.1571541
GB general,http://feeds.examiner.ie/ietopstories
GB general,http://www.irishtimes.com/rss/editors-picks-feed-1.1904962?localLinksEnabled=false
GB sports,http://www.theguardian.com/football/rss
GB sports,http://www.theweek.co.uk/feeds/sport
GB sports,http://feeds.feedburner.com/daily-express-sport-news
GB sports,http://www.mirror.co.uk/sport/rss.xml
GB sports,http://feeds.feedburner.com/SportcoukNewsRssFeed
GB sports,http://www.standard.co.uk/sport/football/rss
GB sports,"http://www.skysports.com/rss/0,20514,12040,00.xml"
GB sports,"http://www.skysports.com/rss/0,20514,20876,00.xml"
GB sports,http://feeds.theguardian.com/theguardian/uk/sport/rss
GB sports,http://feeds.bbci.co.uk/sport/0/rss.xml?edition=uk
GB sports,http://www.dailymail.co.uk/sport/index.rss
GB sports,http://www.huffingtonpost.co.uk/feeds/verticals/uk-sport/index.xml
GB sports,http://www.telegraph.co.uk/sport/rss
GB sports,http://metro.co.uk/sport/feed/
GB sports,http://rss.feedsportal.com/c/266/f/3784/index.rss
GB sports,https://uk.eurosport.yahoo.com/eurosport/tickerdb/sport/0.xml
GB sports,http://mf.feeds.reuters.com/reuters/UKSportsNews
GB tech,http://feeds.feedburner.com/uk/gizmodo
GB tech,http://feeds.skynews.com/feeds/rss/technology.xml
GB tech,http://rss.feedsportal.com/c/559/f/7174/index.rss
GB tech,http://www.huffingtonpost.co.uk/feeds/verticals/uk-tech/index.xml
GB tech,http://techcrunch.com/europe/feed/
GB tech,http://www.techrepublic.com/rssfeeds/blog/european-technology/
GB tech,http://feeds.theguardian.com/theguardian/technology/rss
GB tech,http://feeds.bbci.co.uk/news/technology/rss.xml#
GB tech,http://blogs.technet.com/b/uktechnet/rss.aspx
GB tech,http://blogs.which.co.uk/technology/feed/atom/
